epoch,open,high,low,close
1783305300,63487.134,63508.856,63475.285,63498.62
1783305360,63498.73,63508.087,63465.739,63500.49
1783305420,63500.671,63521.99,63479.587,63504.709
1783305480,63504.697,63530.66,63499.028,63530.188
1783305540,63530.793,63541.011,63478.416,63478.416
1783305600,63478.303,63478.303,63405.557,63414.082
1783305660,63412.784,63413.991,63359.395,63395.487
1783305720,63396.445,63422.954,63394.225,63399.644
1783305780,63399.62,63430.772,63384.541,63404.734
1783305840,63404.692,63412.174,63356.248,63363.4
1783305900,63363.653,63411.382,63363.653,63411.272
1783305960,63411.309,63431.996,63411.309,63427.979
1783306020,63426.969,63438.431,63381.027,63381.423
1783306080,63381.342,63392.704,63371.028,63381.269
1783306140,63381.587,63390.784,63378.312,63390.465
1783306200,63390.476,63390.476,63369.483,63374.411
1783306260,63374.413,63390.704,63340.251,63390.704
1783306320,63395.146,63400.439,63376.909,63380.101
1783306380,63380.104,63394.211,63377.302,63377.302
1783306440,63377.314,63429.473,63377.314,63417.804
